noisy,ideal,mitigated,mae_noisy,mae_mitigated
"[0.180419921875, 0.664306640625, 0.05224609375, 0.10302734375]","[0.10302734375, 0.8017578125, 0.0205078125, 0.07470703125]","[0.8326533436775208, 0.0659436285495758, 0.0402352549135685, 0.06116773188114166]",0.0687255859375,0.37467673141509295
"[0.089111328125, 0.4541015625, 0.0439453125, 0.412841796875]","[0.002685546875, 0.512939453125, 0.0, 0.484375]","[0.8280506730079651, 0.0701308473944664, 0.041896723210811615, 0.05992172658443451]",0.065185546875,0.43363093212246895
"[0.202880859375, 0.40771484375, 0.1474609375, 0.241943359375]","[0.16064453125, 0.472412109375, 0.12841796875, 0.238525390625]","[0.8528080582618713, 0.057980962097644806, 0.03641723468899727, 0.052793826907873154]",0.0323486328125,0.346081743016839
"[0.44091796875, 0.090576171875, 0.402099609375, 0.06640625]","[0.532470703125, 0.0205078125, 0.439697265625, 0.00732421875]","[0.902725875377655, 0.03615787625312805, 0.0252178106456995, 0.03589847683906555]",0.0645751953125,0.20723973726853728
"[0.238037109375, 0.06591796875, 0.069580078125, 0.62646484375]","[0.224365234375, 0.02099609375, 0.00048828125, 0.754150390625]","[0.8741887807846069, 0.052164264023303986, 0.030979428440332413, 0.04266751930117607]",0.0638427734375,0.3557414337992668
"[0.5009765625, 0.245361328125, 0.20947265625, 0.044189453125]","[0.561767578125, 0.208740234375, 0.228271484375, 0.001220703125]","[0.9027999043464661, 0.037102650851011276, 0.024497652426362038, 0.035599738359451294]",0.039794921875,0.187705694232136
"[0.6533203125, 0.1220703125, 0.1875, 0.037109375]","[0.796630859375, 0.01171875, 0.19140625, 0.000244140625]","[0.9225273728370667, 0.029488487169146538, 0.019555194303393364, 0.02842891961336136]",0.0736083984375,0.0859255213290453
"[0.493896484375, 0.2978515625, 0.16650390625, 0.041748046875]","[0.568115234375, 0.262451171875, 0.16796875, 0.00146484375]","[0.8996186852455139, 0.038538265973329544, 0.02502424828708172, 0.036818765103816986]",0.037841796875,0.1834286949597299
"[0.515380859375, 0.08447265625, 0.343505859375, 0.056640625]","[0.583740234375, 0.00341796875, 0.41015625, 0.002685546875]","[0.9107871055603027, 0.03334793075919151, 0.023015443235635757, 0.032849524170160294]",0.0675048828125,0.1935704043135047
"[0.0751953125, 0.49853515625, 0.06103515625, 0.365234375]","[0.0009765625, 0.580322265625, 0.00048828125, 0.418212890625]","[0.8230009078979492, 0.0716390609741211, 0.04316016659140587, 0.06219983845949173]",0.0673828125,0.43234812188893557
"[0.1796875, 0.11474609375, 0.0615234375, 0.64404296875]","[0.150390625, 0.0732421875, 0.001708984375, 0.774658203125]","[0.8628057241439819, 0.0571778267621994, 0.03369923308491707, 0.046317219734191895]",0.0653076171875,0.3722026729956269
